KRAJ;MĚSTO;ORIGINÁLNÍ ZÁZNAM;GPS;PATRO / NÁSTUPIŠTĚ /atd.
Hlavní město Praha;Praha 1;WC (5E). Clam - Gallasův palác, Husova 158/20, 110 00 Praha 1;"50°5'11.124"", 14°25'4.031""";
Hlavní město Praha;Praha 1;WC (1E). Divadelní akademie múzických umění - divadlo DISK, Karlova 26, 116 65 Praha 1;"50°5'9.432"", 14°25'2.047""";
Hlavní město Praha;Praha 1;WC (1E). Finanční úřad pro Prahu 1, Štěpánská 619/28, 112 33 Praha 1;"50°4'44.937"", 14°25'32.698""";přízemí
Hlavní město Praha;Praha 1;WC (1E). Magistrát hl. m. Prahy, Nová radnice, Mariánské náměstí 2, 110 00 Praha 1;"50°5'13.591"", 14°25'4.186""";
Hlavní město Praha;Praha 1;WC (1E). Magistrát hl. m. Prahy, Staroměstská radnice s Orlojem, Staroměstské náměstí 1/3, 110 00 Praha 1;"50°5'12.680"", 14°25'12.709""";
Hlavní město Praha;Praha 1;WC (2E). Magistrát hl. m. Prahy, Škodův palác, Jungmannova 35/29, 110 00 Praha 1;"50°4'55.076"", 14°25'20.099""";
Hlavní město Praha;Praha 1;2x Plošina (4E). Ministerstvo dopravy ČR, nábř. L. Svobody 1222/12, 110 15 Praha 1 ;"50°5'36.069"", 14°26'3.717""";
Hlavní město Praha;Praha 1;WC (1E). Nákupní galerie Myslbek, Na Příkopě 19, 21, Ovocný trh 8, 110 00 Praha 1;"50°5'8.675"", 14°25'30.766""";
Hlavní město Praha;Praha 1;WC (3E). Obchodní dům Kotva, Nám. Republiky, 110 00 Praha 1;"50°5'20.746"", 14°25'39.720""";
Hlavní město Praha;Praha 1;WC (1E). Pasáž Slovanský Dům, Na Příkopě 859/22, 110 00 Praha 1 - Nové Město;"50°5'9.000"", 14°25'41.000""";
Hlavní město Praha;Praha 1 – Nové Město;WC (1E). Rehabilitační poliklinika Palackého, Palackého 5, 110 00 Praha 1 – Nové Město;"50°4'52.072"", 14°25'23.258""";
Hlavní město Praha;Praha 1;WC (1E). Stanice metra Můstek A, vestibul Můstek, 110 00 Praha 1;"50°5'0.498"", 14°25'26.3""";
Hlavní město Praha;Praha 1;WC (2E). Stanice metra Můstek B, vestibul Jungmannovo náměstí, 110 00 Praha 1;"50°4'58.866"", 14°25'20.6""";
Hlavní město Praha;Praha 1 - Nové Město;WC (1E). Stanice metra Náměstí Republiky, 110 00 Praha 1 - Nové Město;"50°5'19.084"", 14°25'52.142""";
Hlavní město Praha;Praha 1 - Josefov;WC (1E). Stanice metra Staroměstská, 110 00 Praha 1 - Josefov;"50°5'19.125"", 14°24'58.195""";
Hlavní město Praha;Praha 1 - Josefov;WC (5E). Uměleckoprůmyslové museum v Praze, 17. listopadu 2/2, 110 00 Praha 1 - Josefov;"50°5'23.744"", 14°24'58.730""";
Hlavní město Praha;Praha 1;WC (2E). Univerzita Karlova v Praze - Fakulta sociálních věd, Budova Hollar, Smetanovo nábřeží 6, 110 01 Praha 1;"50°4'56.423"", 14°24'47.895""";Budova Hollar
Hlavní město Praha;Praha 1;WC (1E). Univerzita Karlova v Praze - Pedagogická fakulta, Magdalény Rettigové 47/4, 116 39 Praha 1 ;"50°4'47.002"", 14°25'13.217""";
Hlavní město Praha;Praha 1;WC (1E). Železniční stanice Praha Masarykovo nádraží, Havlíčkova 2, 110 00 Praha 1;"50°5'14.842"", 14°25'57.700""";
Hlavní město Praha;Praha 2;WC (1E). Finanční úřad pro Prahu 2, Vinohradská 2488/49, 120 00 Praha 2;"50°4'38.607"", 14°26'25.99""";přízemí
Hlavní město Praha;Praha 2 - Vinohrady ;WC (1E). Churchill, Italská 2581/67, 120 00 Praha 2 - Vinohrady;"50°5'2.793"", 14°26'22.954""";
Hlavní město Praha;Praha 2;WC (1E). Ministerstvo zdravotnictví, Palackého nám. 4, 120 00 Praha 2;"50°4'22.936"", 14°24'55.314""";
Hlavní město Praha;Praha 2 - Nové Město;WC (1E). Stanice metra I. P. Pavlova, 120 00 Praha 2 - Nové Město;"50°4'31.458"", 14°25'49.364""";
Hlavní město Praha;Praha 2 - Nové Město;WC (1E). Stanice metra Karlovo náměstí, 120 00 Praha 2 - Nové Město;"50°4'29.756"", 14°25'7.819""";
